time,meas_qw,meas_qx,meas_qy,meas_qz,true_qw,true_qx,true_qy,true_qz,wx,wy,wz
4.885999999999684,-0.5226646913632812,-0.4505781616098364,-0.6813908681775936,0.2439414385597708,-0.5226646913632812,-0.4505781616098364,-0.6813908681775936,0.2439414385597708,0.029860880777988374,0.545609978320038,1.7577328626426663
4.887999999999684,-0.5227069066523288,-0.4519248751895792,-0.6808747895764082,0.24279810098540253,-0.5227069066523288,-0.4519248751895792,-0.6808747895764082,0.24279810098540253,0.03169154204468627,0.5451813230010542,1.7580533144271289
4.8899999999996835,-0.5227468995280056,-0.4532711244405802,-0.6803555865845213,0.24165521427327036,-0.5227468995280056,-0.4532711244405802,-0.6803555865845213,0.24165521427327036,0.03351877598517705,0.5447448734654989,1.7583738884267133
4.891999999999683,-0.5227846723284604,-0.4546169022050954,-0.6798332585315563,0.24051278386445918,-0.5227846723284604,-0.4546169022050954,-0.6798332585315563,0.24051278386445918,0.035344240732610666,0.5443009315877771,1.7586945864181633
4.893999999999683,-0.5228202266158339,-0.4559622024543179,-0.6793078039837263,0.2393708169789751,-0.5228202266158339,-0.4559622024543179,-0.6793078039837263,0.2393708169789751,0.03717025819562958,0.5438490927144006,1.7590154098099777
4.895999999999683,-0.5228535629486916,-0.45730701992836903,-0.6787792216331278,0.23822932127514726,-0.5228535629486916,-0.45730701992836903,-0.6787792216331278,0.23822932127514726,0.03899794011531549,0.5433900844709445,1.7593363602298255
4.897999999999683,-0.5228846811148671,-0.45865134998132706,-0.6782475102307678,0.23708830481800175,-0.5228846811148671,-0.45865134998132706,-0.6782475102307678,0.23708830481800175,0.0408282090625946,0.5429244130010371,1.75965743848464
4.899999999999682,-0.5229135809175157,-0.45999518786886234,-0.6777126686885638,0.23594777542612028,-0.5229135809175157,-0.45999518786886234,-0.6777126686885638,0.23594777542612028,0.04266079012266988,0.5424522303617298,1.7599786447716392
4.901999999999682,-0.522940261961207,-0.46133852903155476,-0.6771746959036458,0.2348077410963055,-0.522940261961207,-0.46133852903155476,-0.6771746959036458,0.2348077410963055,0.04449598503053398,0.5419736145844073,1.7602999791233553
4.903999999999682,-0.5229647234501364,-0.4626813692254586,-0.6766335908139537,0.2336682100342095,-0.5229647234501364,-0.4626813692254586,-0.6766335908139537,0.2336682100342095,0.04633426502879229,0.5414888242832505,1.7606214414294554
4.905999999999682,-0.522986964061862,-0.4640237047964837,-0.6760893521174589,0.23252919120337673,-0.522986964061862,-0.4640237047964837,-0.6760893521174589,0.23252919120337673,0.04817674179038395,0.5409978641904952,1.760943031252734
4.9079999999996815,-0.5230069817667137,-0.46536553259098606,-0.6755419786552631,0.23139069379322905,-0.5230069817667137,-0.46536553259098606,-0.6755419786552631,0.23139069379322905,0.05002411532969253,0.5405012816283912,1.7612647479984533
4.909999999999681,-0.5230247743872326,-0.4667068492434184,-0.6749914698204529,0.23025272618600984,-0.5230247743872326,-0.4667068492434184,-0.6749914698204529,0.23025272618600984,0.05187566323203702,0.5399997719796477,1.7615865903929298
4.911999999999681,-0.5230403398422685,-0.4680476510739249,-0.6744378253972378,0.22911529607450948,-0.5230403398422685,-0.4680476510739249,-0.6744378253972378,0.22911529607450948,0.05373061585687161,0.5394937069631254,1.7619085564808405
4.913999999999681,-0.5230536762967498,-0.4693879340484293,-0.6738810454262849,0.22797841059490465,-0.5230536762967498,-0.4693879340484293,-0.6738810454262849,0.22797841059490465,0.05558823507001781,0.538983219551259,1.7622306439606759
4.915999999999681,-0.5230647819795582,-0.4707276939568963,-0.6733211301569012,0.22684207651785526,-0.5230647819795582,-0.4707276939568963,-0.6733211301569012,0.22684207651785526,0.05744810190783456,0.5384684952371437,1.7625528504263681
4.91799999999968,-0.5230736559593641,-0.4720669259820914,-0.6727580797210745,0.22570630032220065,-0.5230736559593641,-0.4720669259820914,-0.6727580797210745,0.22570630032220065,0.059309331227117734,0.5379488962896568,1.762875173297703
4.91999999999968,-0.5230802981754017,-0.47340562479966514,-0.6721918939363491,0.2245710885110433,-0.5230802981754017,-0.47340562479966514,-0.6721918939363491,0.2245710885110433,0.06117132952298365,0.5374235391849752,1.7631976106898637
4.92199999999968,-0.5230847088335161,-0.4747437848753111,-0.6716225726269028,0.22343644744051966,-0.5230847088335161,-0.4747437848753111,-0.6716225726269028,0.22343644744051966,0.06303375279904405,0.5368922652086046,1.7635201616173568
4.92399999999968,-0.5230868882584974,-0.47608140075262173,-0.6710501153526411,0.2223023838708676,-0.5230868882584974,-0.47608140075262173,-0.6710501153526411,0.2223023838708676,0.06489690755768257,0.5363546775776485,1.7638428252751224
4.9259999999996795,-0.5230868375855807,-0.4774184664523458,-0.6704745214760761,0.2211689044292467,-0.5230868375855807,-0.4774184664523458,-0.6704745214760761,0.2211689044292467,0.06676007942460171,0.5358100709729842,1.7641656011855487
4.927999999999679,-0.5230845585407484,-0.47875497571221887,-0.6698957900679747,0.22003601590700234,-0.5230845585407484,-0.47875497571221887,-0.6698957900679747,0.22003601590700234,0.06862300082995071,0.5352577528608522,1.7644884896325237
4.929999999999679,-0.5230800534391131,-0.48009092156022365,-0.6693139206063867,0.21890372407087283,-0.5230800534391131,-0.48009092156022365,-0.6693139206063867,0.21890372407087283,0.07048422792107295,0.5346978740233372,1.7648114915700854
4.931999999999679,-0.5230733250467207,-0.48142629659578223,-0.6687289127041128,0.21777203421057625,-0.5230733250467207,-0.48142629659578223,-0.6687289127041128,0.21777203421057625,0.0723429572480257,0.5341303414013002,1.7651346079762664
4.933999999999679,-0.5230643761231084,-0.4827610932553304,-0.6681407662791691,0.21664095112823428,-0.5230643761231084,-0.4827610932553304,-0.6681407662791691,0.21664095112823428,0.07419869979825738,0.5335555241018859,1.765457840017071
4.935999999999678,-0.523053209642262,-0.4840953035234324,-0.6675494817329857,0.21551047869536563,-0.523053209642262,-0.4840953035234324,-0.6675494817329857,0.21551047869536563,0.07605037611573218,0.5329738905958763,1.7657811885521637
